Data Type,Book,Chapter,Number of Verses or Mishnahs,,Books,,
Bible,II Samuel,11,27,,,,
Bible,II Samuel,12,31,,,,
Bible,II Samuel,13,39,,,,
Bible,II Samuel,14,33,,,,
Bible,II Samuel,15,37,,,,
Bible,II Samuel,16,23,,,,
Bible,II Samuel,17,29,,,,
Bible,II Samuel,18,32,,,,
Bible,II Samuel,19,44,,,,
Bible,II Samuel,20,26,,,,
Bible,II Samuel,21,22,,,,
Bible,II Samuel,22,51,,,,
Bible,II Samuel,23,39,,,,
Bible,II Samuel,24,25,,,,
Bible,I Kings,1,53,,,,
Bible,I Kings,2,46,,,,
Bible,I Kings,3,28,,,,
Bible,I Kings,4,20,,,,
Bible,I Kings,5,32,,,,
Bible,I Kings,6,38,,,,
Bible,I Kings,7,51,,,,
Bible,I Kings,8,66,,,,
Bible,I Kings,9,28,,,,
Bible,I Kings,10,29,,,,
Bible,I Kings,11,43,,,,
Bible,I Kings,12,33,,,,
Bible,I Kings,13,34,,,,
Bible,I Kings,14,31,,,,
Bible,I Kings,15,34,,,,
Bible,I Kings,16,34,,,,
Bible,I Kings,17,24,,,,
Bible,I Kings,18,46,,,,
Bible,I Kings,19,21,,,,
Bible,I Kings,20,43,,,,
Bible,I Kings,21,29,,,,
Bible,I Kings,22,54,,,,
Bible,II Kings,1,18,,,,
Bible,II Kings,2,25,,,,
Bible,II Kings,3,27,,,,
Bible,II Kings,4,44,,,,
Bible,II Kings,5,27,,,,
Bible,II Kings,6,33,,,,
Bible,II Kings,7,20,,,,
Bible,II Kings,8,29,,,,
Bible,II Kings,9,37,,,,
Bible,II Kings,10,36,,,,
Bible,II Kings,11,20,,,,
Bible,II Kings,12,22,,,,
Bible,II Kings,13,25,,,,
Bible,II Kings,14,29,,,,
Bible,II Kings,15,38,,,,
Bible,II Kings,16,20,,,,
Bible,II Kings,17,41,,,,
Bible,II Kings,18,37,,,,
Bible,II Kings,19,37,,,,
Bible,II Kings,20,21,,,,
Bible,II Kings,21,26,,,,
Bible,II Kings,22,20,,,,
Bible,II Kings,23,37,,,,
Bible,II Kings,24,20,,,,
Bible,II Kings,25,30,,,,
Bible,Isaiah,1,31,,,,
Bible,Isaiah,2,22,,,,
Bible,Isaiah,3,26,,,,
Bible,Isaiah,4,6,,,,
Bible,Isaiah,5,30,,,,
Bible,Isaiah,6,13,,,,
Bible,Isaiah,7,25,,,,
Bible,Isaiah,8,23,,,,
Bible,Isaiah,9,20,,,,
Bible,Isaiah,10,34,,,,
Bible,Isaiah,11,16,,,,
Bible,Isaiah,12,6,,,,
Bible,Isaiah,13,22,,,,
Bible,Isaiah,14,32,,,,
Bible,Isaiah,15,9,,,,
Bible,Isaiah,16,14,,,,
Bible,Isaiah,17,14,,,,
Bible,Isaiah,18,7,,,,
Bible,Isaiah,19,25,,,,
Bible,Isaiah,20,6,,,,
Bible,Isaiah,21,17,,,,
Bible,Isaiah,22,25,,,,
Bible,Isaiah,23,18,,,,
Bible,Isaiah,24,23,,,,
Bible,Isaiah,25,12,,,,
Bible,Isaiah,26,21,,,,
Bible,Isaiah,27,13,,,,
Bible,Isaiah,28,29,,,,
Bible,Isaiah,29,24,,,,
Bible,Isaiah,30,33,,,,
Bible,Isaiah,31,9,,,,
Bible,Isaiah,32,20,,,,
Bible,Isaiah,33,24,,,,
Bible,Isaiah,34,17,,,,
Bible,Isaiah,35,10,,,,
Bible,Isaiah,36,22,,,,
Bible,Isaiah,37,38,,,,
Bible,Isaiah,38,22,,,,
Bible,Isaiah,39,8,,,,
Bible,Isaiah,40,31,,,,
